KBDDD02:000202908:mpeg21:a0043	1915	Rotterdamsch nieuwsblad	VOOR DE DAMES. De omvang der bont-industrie. — De mof. — Echt en nagemaakt bont.	artikel	0.8701550387596899	nl	06_Hunt_economical	\N	Regionaal/lokaal	\N	\N
KBDDD02:000203175:mpeg21:a0002	1900	Rotterdamsch nieuwsblad	Feuilleton. Een fortuinzoekster. 6) (Vervolg).	artikel	0.9296679757229561	nl	09_Figurative	\N	Regionaal/lokaal	\N	\N
KBDDD02:000203256:mpeg21:a0061	1900	Rotterdamsch nieuwsblad	Een smakelijk drankje.	artikel	0.9200415368639667	nl	09_Figurative	\N	Regionaal/lokaal	\N	\N
KBDDD02:000204010:mpeg21:a0058	1903	De locomotief	Bij nacht op kantoor. Naar het Engelsch DOOR FOX.	artikel	0.9306292645943897	nl	09_Figurative	\N	Regionaal/lokaal	\N	\N
KBDDD02:000204168:mpeg21:a0014	1883	De locomotief	VOLGENS DE NIEUWSTE WIJZIGING van het	artikel	0.9291696578128739	nl	11_Nobeast	\N	Regionaal/lokaal	\N	\N
KBDDD02:000204432:mpeg21:a0011	1883	De locomotief	NEDERLANDSCH-INDIE. Weerkundige waarnoming. Bavometer Secretan. SEMARANG 10 December. 's morgons 8 uur therm. Febr. 85 Barom. 769 's namidd 8„ „ „ 80 „ 768	artikel	0.8645080163470606	nl	11_Nobeast	\N	Regionaal/lokaal	\N	\N
KBDDD02:000206853:mpeg21:a0001	1843	Journal de La Haye	La Haye, 17 octobre. ÉTATS-GÉNÉRAUX.	artikel	0.7821091505949939	fr	11_Nobeast	\N	Regionaal/lokaal	\N	\N
KBDDD02:000204511:mpeg21:a0023	1931	Voorwaarts	GEMENGDE BERICHTEN.	artikel	0.8805620608899297	nl	11_Nobeast	\N	Landelijk	\N	\N
KBDDD02:000204519:mpeg21:a0029	1931	Voorwaarts	GEMENGDE BERICHTEN.	artikel	0.8874388254486134	nl	11_Nobeast	\N	Landelijk	\N	\N
KBDDD02:000204652:mpeg21:a0023	1931	Voorwaarts	GEMENGDE BERICHTEN.	artikel	0.8809218950064021	nl	11_Nobeast	\N	Landelijk	\N	\N
