MMKB04:000136982:mpeg21:a0059	1914	Haagsche courant	Advertentie	advertentie	0.863849765258216	nl	06_Hunt_economical	\N	Regionaal/lokaal	\N	\N
MMKB04:000137927:mpeg21:a0066	1912	Haagsche courant	Advertentie	advertentie	0.8586387434554974	nl	06_Hunt_economical	\N	Regionaal/lokaal	\N	\N
MMKB04:000138282:mpeg21:a0090	1912	Haagsche courant	Advertentie	advertentie	0.7491166077738516	nl	06_Hunt_economical	\N	Regionaal/lokaal	\N	\N
MMKB04:000138757:mpeg21:a0106	1919	Haagsche courant	Advertentie	advertentie	0.7965367965367965	nl	06_Hunt_economical	\N	Regionaal/lokaal	\N	\N
MMKB04:000138965:mpeg21:a0047	1919	Haagsche courant	Advertentie	advertentie	0.8149466192170819	nl	06_Hunt_economical	\N	Regionaal/lokaal	\N	\N
MMKB04:000138991:mpeg21:a0033	1919	Haagsche courant	Advertentie	advertentie	0.8392523364485981	nl	06_Hunt_economical	\N	Regionaal/lokaal	\N	\N
MMKB04:000139421:mpeg21:a0014	1917	Haagsche courant	Advertentie	advertentie	0.852991452991453	nl	06_Hunt_economical	\N	Regionaal/lokaal	\N	\N
MMKB04:000139512:mpeg21:a0023	1917	Haagsche courant	Advertentie	advertentie	0.7604938271604939	nl	06_Hunt_economical	\N	Regionaal/lokaal	\N	\N
MMKB04:000139537:mpeg21:a0134	1917	Haagsche courant	Advertentie	advertentie	0.8314393939393939	nl	06_Hunt_economical	\N	Regionaal/lokaal	\N	\N
MMKB04:000141418:mpeg21:a0028	1915	Haagsche courant	Advertentie	advertentie	0.8326359832635983	nl	06_Hunt_economical	\N	Regionaal/lokaal	\N	\N
MMKB04:000141439:mpeg21:a0029	1915	Haagsche courant	Advertentie	advertentie	0.8054474708171206	nl	06_Hunt_economical	\N	Regionaal/lokaal	\N	\N
MMKB04:000141460:mpeg21:a0033	1915	Haagsche courant	PELTERIJEN.	advertentie	0.78125	nl	06_Hunt_economical	\N	Regionaal/lokaal	\N	\N
MMKB04:000141502:mpeg21:a0023	1915	Haagsche courant	Advertentie	advertentie	0.7923627684964201	nl	06_Hunt_economical	\N	Regionaal/lokaal	\N	\N
MMKB04:000141523:mpeg21:a0029	1915	Haagsche courant	Advertentie	advertentie	0.7652582159624414	nl	06_Hunt_economical	\N	Regionaal/lokaal	\N	\N
MMKB04:000141624:mpeg21:a0030	1915	Haagsche courant	Advertentie	advertentie	0.7861635220125787	nl	06_Hunt_economical	\N	Regionaal/lokaal	\N	\N
ddd:010493834:mpeg21:a0181	1921	Rotterdamsch nieuwsblad	Nabootsing van gelulden.	artikel	0.8589743589743589	nl	01_Natural_history	\N	Regionaal/lokaal	\N	\N
MMKB04:000141660:mpeg21:a0025	1915	Haagsche courant	Advertentie	advertentie	0.7215189873417721	nl	06_Hunt_economical	\N	Regionaal/lokaal	\N	\N
MMKB04:000141689:mpeg21:a0026	1915	Haagsche courant	Advertentie	advertentie	0.8282442748091603	nl	06_Hunt_economical	\N	Regionaal/lokaal	\N	\N
MMKB04:000141775:mpeg21:a0024	1915	Haagsche courant	Advertentie	advertentie	0.8087248322147651	nl	06_Hunt_economical	\N	Regionaal/lokaal	\N	\N
MMKB04:000141808:mpeg21:a0023	1915	Haagsche courant	Advertentie	advertentie	0.774822695035461	nl	06_Hunt_economical	\N	Regionaal/lokaal	\N	\N
MMKB04:000141907:mpeg21:a0011	1920	Haagsche courant	Advertentie	advertentie	0.8557046979865772	nl	06_Hunt_economical	\N	Regionaal/lokaal	\N	\N
MMKB04:000143557:mpeg21:a0143	1924	Haagsche courant	Advertentie	advertentie	0.8136792452830188	nl	06_Hunt_economical	\N	Regionaal/lokaal	\N	\N
MMKB04:000143647:mpeg21:a0010	1916	Haagsche courant	Advertentie	advertentie	0.8761904761904762	nl	06_Hunt_economical	\N	Regionaal/lokaal	\N	\N
MMKB04:000143737:mpeg21:a0018	1916	Haagsche courant	WAARSCHUWING.	advertentie	0.6964285714285714	nl	06_Hunt_economical	\N	Regionaal/lokaal	\N	\N
